ma_san_pham,hinh_anh,hinh_anh_2
422219512,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-serum-chong-nang-garnier-mong-nhe-bao-ve-toi-uu-30ml-1715588224_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-serum-chong-nang-garnier-mong-nhe-bao-ve-toi-uu-30ml-1715588224_img_380x380_64adc6_fit_center.jpg
213300003,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-213300003-1704350206_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-213300003-1704350206_img_380x380_64adc6_fit_center.png
201600067,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-bo-doi-vichy-chong-nang-bao-ve-da-xit-khoang-50ml-kem-chong-nang-khong-gay-nhon-rit-50ml_qN5JbnNVLkSr3ccW_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-bo-doi-vichy-chong-nang-bao-ve-da-xit-khoang-50ml-kem-chong-nang-khong-gay-nhon-rit-50ml_qN5JbnNVLkSr3ccW_img_380x380_64adc6_fit_center.png
100160006,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-neutrogena-ultra-sheer-dry-touch-spf-55_bK1CoSDnu5YGCrVz_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-neutrogena-ultra-sheer-dry-touch-spf-55_bK1CoSDnu5YGCrVz_img_380x380_64adc6_fit_center.png
249500001,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500001-1698805875_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500001-1698805875_img_380x380_64adc6_fit_center.jpg
422207283,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-eucerin-kiem-soat-dau-co-mau-spf-50-50ml_S1Aw7kWs5FQQQ8S1_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-eucerin-kiem-soat-dau-co-mau-spf-50-50ml_S1Aw7kWs5FQQQ8S1_img_380x380_64adc6_fit_center.png
422211974,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-gc-nang-tone-duong-sang-da-60ml-1706671536_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-gc-nang-tone-duong-sang-da-60ml-1706671536_img_380x380_64adc6_fit_center.png
345800013,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-345800013-1731392332_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-345800013-1731392332_img_380x380_64adc6_fit_center.jpg
213300012,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-213300012-1704189075_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-213300012-1704189075_img_380x380_64adc6_fit_center.png
422212531,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422212531-1696495731_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422212531-1696495731_img_380x380_64adc6_fit_center.png
422224703,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-the-saem-kiem-dau-nang-tong-sang-hong-50g-moi_6bRAViRkwqLxUNKz_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-the-saem-kiem-dau-nang-tong-sang-hong-50g-moi_6bRAViRkwqLxUNKz_img_380x380_64adc6_fit_center.png
422204777,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-hatomugi-cap-am-cho-mat-toan-than-80g_9uF22XH6vmV8kTCX_img_380x380_64adc6_fit_center.png,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-hatomugi-cap-am-cho-mat-toan-than-80g_9uF22XH6vmV8kTCX_img_380x380_64adc6_fit_center.png
422211231,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211231-1699001217_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211231-1699001217_img_380x380_64adc6_fit_center.jpg
422217421,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422217421-1703835156_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422217421-1703835156_img_380x380_64adc6_fit_center.jpg
249500010,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500010-1728896855_img_380x380_64adc6_fit_center.jpg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500010-1728896855_img_380x380_64adc6_fit_center.jpg
422220493,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-kem-chong-nang-neutrogena-ultra-sheer-spf-50-88ml_uJGjjzVXPEW6fsEJ_img_380x380_64adc6_fit_center.png
422203145,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-chong-nang-sunplay-hieu-chinh-sac-da-50g-hong-1711610523_img_380x380_64adc6_fit_center.jpg
201600165,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-vichy-kem-chong-nang-ngua-lao-hoa-50ml-gel-rua-mat-50ml_qFX8Nv8rDbAvkGbg_img_380x380_64adc6_fit_center.png
222600042,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-222600042-1703039780_img_380x380_64adc6_fit_center.jpg
422227295,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422227295-1728871391_img_380x380_64adc6_fit_center.jpg
422215666,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422215666-1697450460_img_380x380_64adc6_fit_center.png
223600036,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-223600036-1698745916_img_380x380_64adc6_fit_center.jpg
422203146,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-chong-nang-sunplay-hieu-chinh-sac-da-50g-hong-1714016347_img_380x380_64adc6_fit_center.jpg
422208183,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208183-1702363013_img_380x380_64adc6_fit_center.png
422213279,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-eucerin-cho-da-nhay-cam-50ml_vAVN2f782HdnwLPM_img_380x380_64adc6_fit_center.png
422217969,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-torriden-nang-tong-da-60ml_LJjgeVJwx3zsSHsR_img_380x380_64adc6_fit_center.png
422223703,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-d-alba-vat-ly-diu-nhe-cho-da-nhay-cam-50ml-1720154892_img_380x380_64adc6_fit_center.jpg
249500006,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-249500006-1728888143_img_380x380_64adc6_fit_center.jpg
201600072,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-vichy-bao-ve-da-ngan-ngua-lao-hoa-spf50-50ml_Yxnxipf492AfT1N2_img_380x380_64adc6_fit_center.png
422207414,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-chong-nang-sunplay-hieu-chinh-sac-da-50g-cam-1711600746_img_380x380_64adc6_fit_center.jpg
201600200,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-vichy-kem-chong-nang-kiem-dau-spf50-50ml-gel-rua-mat-da-dau-mun-50ml_1CZoME96546vfaKQ_img_380x380_64adc6_fit_center.png
422222330,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-nang-tong-kiem-dau-35g_mg2TtkZLaUdvGeUc_img_380x380_64adc6_fit_center.png
100160021,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-vichy-ngua-sam-da-giam-tham-nam-mau-da-50ml_knRPhcZMcSUhSMCm_img_380x380_64adc6_fit_center.png
213300004,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-213300004-1704190512_img_380x380_64adc6_fit_center.png
422227296,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422227296-1728871687_img_380x380_64adc6_fit_center.jpg
422217104,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422217104-1702362952_img_380x380_64adc6_fit_center.png
422218364,https://hasaki.vn/img/placeholder.svg,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-anessa-cho-da-nhay-cam-tre-em-90g-moi_dFB7PCkqoNBEuYYs_img_380x380_64adc6_fit_center.png
